sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt
2.0,5.0,5.0,2.0,1.0,1.0,2932.0,1440.0,0.0,32929.0,31609.0,552.0,0.0,0.0,0.0,0.0,0.0,552.0,1.0,21.0,552.0
2.0,7.0,1.0,2.0,1.0,1.0,1294.0,1440.0,0.0,8176.0,6940.0,5000.0,0.0,0.0,0.0,0.0,0.0,5000.0,1.0,36.0,5000.0
2.0,7.0,5.0,1.0,1.0,1.0,3328.0,1440.0,0.0,3400.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0
1.0,5.0,5.0,3.0,1.0,1.0,3510.0,1440.0,0.0,5526.0,5022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,39.0,0.0
1.0,7.0,5.0,3.0,2.0,3.0,3769.0,4800.0,0.0,13880.0,13436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0
2.0,7.0,5.0,3.0,1.0,1.0,4412.0,1440.0,0.0,10126.0,8734.0,11453.0,0.0,0.0,0.0,0.0,0.0,9500.0,1.0,26.0,11453.0
1.0,7.0,1.0,2.0,1.0,1.0,6600.0,1440.0,0.0,8050.0,7210.0,39147.0,0.0,0.0,16000.0,0.0,0.0,39147.0,1.0,35.0,55147.0
2.0,7.0,5.0,2.0,3.0,1.0,3769.0,1200.0,0.0,11656.0,10924.0,14544.0,0.0,0.0,1000.0,0.0,0.0,14544.0,1.0,21.0,15544.0
2.0,7.0,5.0,2.0,1.0,1.0,1032.0,1440.0,0.0,10336.0,8320.0,13220.0,0.0,0.0,0.0,0.0,0.0,13220.0,1.0,24.0,13220.0
1.0,7.0,5.0,1.0,1.0,1.0,4264.0,1440.0,0.0,4652.0,4040.0,0.0,0.0,0.0,24500.0,0.0,0.0,0.0,1.0,36.0,24500.0
1.0,8.0,5.0,3.0,1.0,1.0,2062.0,420.0,100.0,3070.0,2686.0,11990.0,0.0,0.0,0.0,0.0,0.0,9000.0,1.0,34.0,11990.0
1.0,7.0,5.0,3.0,3.0,1.0,3769.0,1080.0,0.0,5109.0,4963.8,9000.0,0.0,0.0,0.0,0.0,0.0,9000.0,2.0,21.0,9000.0
2.0,5.0,1.0,3.0,2.0,1.0,3769.0,781.0,0.0,7882.0,7702.0,6050.0,0.0,1600.0,0.0,0.0,0.0,3400.0,1.0,25.0,7650.0
